Timepoint,cued_E1_0,cued_E1_4,cued_E1_8,cued_E1_16,cued_E2_0,cued_E2_4,cued_E2_8,cued_E2_16,cued_E3_0,cued_E3_4,cued_E3_8,cued_E3_16,uncued_E1_0,uncued_E1_4,uncued_E1_8,uncued_E1_16,uncued_E2_0,uncued_E2_4,uncued_E2_8,uncued_E2_16,uncued_E3_0,uncued_E3_4,uncued_E3_8,uncued_E3_16
t122,3.7196483508323617,3.7312481906255686,3.7355556616204466,3.8201491804896017,3.746280205843493,3.801091365224141,3.784596555333679,3.8428063285429395,3.8562951641456733,3.8897680950287614,3.8822365848491835,3.9225329955022206,4.034504535333333,4.094408742874779,3.702117194539683,3.8058617462857143,3.876713491818182,3.8700607670776166,3.741160834196303,3.8792496883738226,3.91228002906767,3.8859695920173727,3.8434359836487233,3.929145277922187
t123,3.717497976525835,3.7312548773726206,3.737332837477548,3.8203761493155306,3.7452508800627804,3.800461184272268,3.7868281589534845,3.8441008882173735,3.8539410410612716,3.8896936887461493,3.8843901530366454,3.9237080528773918,4.031438914,4.095527608007055,3.7050459207857145,3.7998766363849206,3.876132029045455,3.868281346410561,3.7437392878324176,3.8735625639352014,3.9129329781102755,3.8838422057492146,3.8414694277007286,3.927279802978577
t124,3.722687269866161,3.734226466635447,3.7372249661651438,3.8218182699239707,3.7489781039779926,3.803571366570233,3.78785684586864,3.8442985868148676,3.861299843396359,3.8920728592289437,3.885194120940991,3.9244396228568164,4.041458439,4.097118961111112,3.7057546664920635,3.801324929922619,3.883989890181818,3.868359690360861,3.744517822616134,3.8753743648919903,3.9182884093690484,3.8879182717557854,3.8411754541395986,3.9273365936944202
t125,3.7242459713492613,3.7350143438815855,3.738433194681302,3.8231186530046934,3.7514989154132663,3.80292101751198,3.786840473163958,3.8468625802626306,3.862218282809841,3.8925228574086255,3.8850609375723715,3.9265829191168358,4.034625179000001,4.098268548465609,3.7077753438174605,3.801255741928572,3.8775597742272723,3.8690905840157073,3.746709960296703,3.8746530577675067,3.9146927591710527,3.887346204995448,3.842611723228732,3.9278748400854084
t126,3.72570031053885,3.7351878854743648,3.741696515934381,3.824548202881823,3.753090373332884,3.805061035113679,3.791091152306978,3.8487098986851813,3.862018864178501,3.894977282303107,3.8878180317596027,3.9285246966266705,4.0366868195,4.102000956525573,3.705971318253968,3.8009767596646826,3.8796487436818183,3.869584373993894,3.745737875405844,3.877320605996161,3.9161148126723058,3.888260821882421,3.8435029579379743,3.9291833870317285
t127,3.724099801915307,3.736653744141661,3.7411947596392467,3.8248506553628845,3.752613919129579,3.806921364474465,3.790696966396177,3.8501775684811625,3.85954632791317,3.8958967554334705,3.88805462889763,3.9298118614970883,4.042567236666667,4.102891981058201,3.7081617404920637,3.802404899958333,3.8846129475909086,3.872291609680847,3.7480289537460036,3.8797856314308037,3.920269322618421,3.8903226164506846,3.839450907796518,3.932210725004783
t128,3.7294776204924247,3.73447931230722,3.7432623872220545,3.8272709408281225,3.756022389404049,3.8057778003068137,3.7923589870256285,3.850978714929345,3.8611141995557126,3.8955291520950057,3.890761280572916,3.930545008268684,4.038720234,4.100892365661377,3.7083315758968256,3.805009122603175,3.8812614082272723,3.870138690045954,3.746182095237013,3.879743675589391,3.9179351881578945,3.890799722288088,3.837694930347859,3.9322734295317794
t129,3.7327095273667448,3.7371945725031304,3.744493906593232,3.8284159980876913,3.7579027883576606,3.808014428919712,3.7928199450302538,3.8534427473580664,3.864261908756712,3.897848227246596,3.891116504231732,3.9323287436961336,4.037358802166667,4.105359321340388,3.712630982198413,3.803378140890873,3.880513817045455,3.872823927492756,3.751478492528971,3.8797463621549033,3.916853990296366,3.893861430221012,3.8468452343152704,3.9312780763504422
t130,3.734350209141026,3.73931189809497,3.7444693741894097,3.8315518106062343,3.7588461782510523,3.809992278248294,3.7933069371591004,3.855710027475675,3.866267663657107,3.899628357078856,3.891811128892839,3.934443311218879,4.033136689,4.099813978236331,3.7098934807063495,3.804742518892857,3.8793366013181823,3.87216189137951,3.7492396562505,3.882411110338191,3.9174087099329578,3.8926149488414774,3.8468791428469573,3.9359037176402984
t131,3.7402836144830998,3.7398934525009735,3.7468927538184764,3.831097421916767,3.764371161281727,3.810490286155533,3.795485496075712,3.8553271898843775,3.8713800514792913,3.9005702742754096,3.8935546308483753,3.9353914585650513,4.040027634833334,4.101842127336861,3.707835986904761,3.8062659570813495,3.8824756437272727,3.871316497654539,3.750115432670829,3.8829893149988437,3.9205177141954883,3.8943556268390696,3.8488027984523483,3.9348391929737643
